"date","time","ip","seconds","average seconds","median seconds",,"unique ips","count","average count",,"dates","total listens","total seconds",
04/20/10,06:43:22 AM,"118.100.191.85",35,1093.89,93.5,,"67.248.21.215",13,1.76,,03/28/10,46,37158,10.55
04/20/10,06:43:22 AM,"118.100.191.85",39,18.23,1.56,,"67.246.43.11",11,,,03/29/10,44,102211,39.57
04/20/10,11:53:28 PM,"118.17.129.209",8,,33.5,,"76.24.31.42",10,,,03/30/10,71,45733,52.55
04/20/10,11:47:57 PM,"118.17.129.209",231,,,,"128.113.91.43",8,,,03/31/10,31,112130,84.39
04/20/10,11:53:18 PM,"118.17.129.209",17,,,,"128.113.209.103",7,,,04/01/10,10,14385,88.47
04/21/10,12:10:01 AM,"118.17.129.209",22,,,,"95.93.178.43",6,,,04/02/10,9,1712,88.96
03/30/10,08:49:38 AM,"121.2.78.33",292,,,,"24.92.55.37",5,,,04/03/10,8,1252,89.31
03/30/10,06:27:33 AM,"121.2.78.33",1819,,,,"24.185.107.123",5,,,04/04/10,3,4451,90.57
03/30/10,02:46:56 AM,"121.73.163.196",435,,,,"85.139.77.224",5,,,04/05/10,12,4276,91.79
03/31/10,09:01:33 AM,"128.113.115.46",30,,,,"128.113.47.190",5,,,04/06/10,7,940,92.05
03/31/10,09:01:03 AM,"128.113.115.46",120,,,,"66.237.181.100",4,,,04/07/10,4,2854,92.87
03/30/10,07:10:17 PM,"128.113.115.92",345,,,,"204.15.6.54",4,,,04/08/10,6,1246,93.22
03/30/10,06:01:10 PM,"128.113.145.197",33,,,,"67.248.17.24",4,,,04/09/10,3,954,93.49
03/31/10,11:10:07 PM,"128.113.195.101",33,,,,"118.17.129.209",4,,,04/10/10,3,8730,95.97
03/29/10,09:15:00 PM,"128.113.195.101",290,,,,"86.138.109.235",4,,,04/11/10,2,204,96.03
03/30/10,06:40:11 AM,"128.113.195.41",7823,,,,"128.113.249.182",4,,,04/12/10,6,164,96.07
03/28/10,07:21:43 PM,"128.113.198.239",85,,,,"128.113.247.5",4,,,04/13/10,7,7157,98.1
03/28/10,06:52:21 PM,"128.113.198.239",21,,,,"91.172.168.181",3,,,04/14/10,6,307,98.19
03/31/10,08:46:18 AM,"128.113.20.135",11,,,,"128.113.210.116",3,,,04/15/10,8,3190,99.1
03/31/10,08:48:10 AM,"128.113.20.135",112,,,,"81.35.43.161",3,,,04/17/10,2,94,99.12
03/30/10,03:38:02 PM,"128.113.20.58",232,,,,"78.24.11.13",3,,,04/18/10,2,133,99.16
03/28/10,08:13:52 PM,"128.113.209.103",13,,,,"82.94.160.219",3,,,04/19/10,2,67,99.18
03/28/10,08:05:46 PM,"128.113.209.103",871,,,,"128.113.247.47",3,,,04/20/10,6,370,99.29
03/29/10,03:59:03 PM,"128.113.209.103",45277,,,,"93.108.164.160",3,,,04/21/10,2,230,99.35
03/29/10,12:20:09 AM,"128.113.209.103",16124,,,,"76.17.116.36",3,,,04/22/10,3,497,99.49
03/28/10,09:37:35 PM,"128.113.209.103",2033,,,,"83.33.123.62",3,,,04/24/10,1,22,99.5
03/28/10,07:51:05 PM,"128.113.209.103",208,,,,"128.113.47.50",3,,,04/26/10,2,82,99.52
03/29/10,03:24:04 AM,"128.113.209.103",11035,,,,"24.92.50.75",3,,,04/27/10,2,126,99.56
04/01/10,04:05:08 PM,"128.113.209.128",693,,,,"24.218.109.15",3,,,04/28/10,14,1558,100
03/28/10,08:32:58 PM,"128.113.209.130",82,,,,"128.113.47.25",3,,,,,352233,
03/30/10,12:08:38 PM,"128.113.209.82",91,,,,"93.92.134.38",2,,,,,5870.55,"minutes"
03/30/10,12:32:19 PM,"128.113.209.82",106,,,,"92.225.36.52",2,,,,,97.84,"hours"
04/06/10,08:34:48 AM,"128.113.210.116",23,,,,"128.113.115.46",2,,,,,4.08,"days"
04/06/10,08:47:37 AM,"128.113.210.116",623,,,,"121.2.78.33",2,,,,,,
04/06/10,08:37:13 AM,"128.113.210.116",143,,,,"128.113.20.135",2,,,,,,
04/08/10,11:00:35 AM,"128.113.232.116",102,,,,"128.113.232.40",2,,,,,,
04/26/10,01:16:19 PM,"128.113.232.134",28,,,,"128.113.209.82",2,,,,,,
03/31/10,05:21:17 PM,"128.113.232.179",11,,,,"128.113.198.239",2,,,,,,
04/01/10,01:10:37 PM,"128.113.232.40",6,,,,"83.67.215.46",2,,,,,,
04/01/10,01:09:13 PM,"128.113.232.40",6,,,,"82.234.175.19",2,,,,,,
04/05/10,03:50:34 PM,"128.113.232.51",11,,,,"87.210.94.140",2,,,,,,
04/28/10,05:10:47 PM,"128.113.232.78",131,,,,"128.113.195.101",2,,,,,,
03/28/10,10:40:48 PM,"128.113.236.139",94,,,,"118.100.191.85",2,,,,,,
03/29/10,02:38:02 AM,"128.113.237.243",1358,,,,"82.94.160.216",2,,,,,,
03/30/10,03:53:58 PM,"128.113.237.43",48,,,,"24.92.61.97",2,,,,,,
03/29/10,11:37:15 PM,"128.113.247.114",15,,,,"72.231.169.79",2,,,,,,
03/28/10,04:20:00 PM,"128.113.247.47",18,,,,"67.248.23.128",2,,,,,,
03/28/10,04:19:41 PM,"128.113.247.47",105,,,,"205.188.234.98",2,,,,,,
03/28/10,04:30:46 PM,"128.113.247.47",24,,,,"128.113.47.103",2,,,,,,
